Year;Month;Species;Tag;Genotype;Population;Type;FM;Collection;collection time;multiple_spawning;spawning;DAFM;sunset;spawning_time;TASS;EPB;EPB_sem;ES;ES_sem;FEC;size;approx
2020;November;A. nasuta;Anas 7.1;NAS7;Nursery;Nursery;31/10/2020;30/10/2020;;N;09/11/2020;9;18:08:00;;;4.333333333;0.143287826;0.63952;0.012574058;13.60464434;58.4;58.4
2020;November;A. nasuta;Anas 7.3;NAS7;Nursery;Nursery;31/10/2020;30/10/2020;;N;09/11/2020;9;18:08:00;;;4.681818182;0.166272655;0.66128;0.006840041;40.91070793;61.1;61.1
2020;November;A. retusa;Aret 2.5;RET2;Nursery;Nursery;31/10/2020;30/10/2020;;N;09/11/2020;9;18:08:00;;;6.375;0.206878982;0.55488;0.002438951;24.31810713;83;83
2020;November;A. nasuta;Anas 4.4;NAS4;Nursery;Nursery;31/10/2020;30/10/2020;;N;09/11/2020;9;18:08:00;;;5;0.217028683;0.65275;0.007089907;18.22715937;85.9;85.9
2020;November;A. retusa;Aret 6.2;RET6;Nursery;Nursery;31/10/2020;30/10/2020;;N;09/11/2020;9;18:08:00;;;5.583333333;0.268629551;;;;91;91
2020;November;A. nasuta;Anas 8.4;NAS8;Nursery;Nursery;31/10/2020;30/10/2020;;N;09/11/2020;9;18:08:00;;;8.25;0.43266392;0.61909;0.004548866;65.09923664;92.1;92.1
2020;November;A. retusa;Aret 10.5;RET10;Nursery;Nursery;31/10/2020;30/10/2020;;N;09/11/2020;9;18:08:00;;;7.875;0.281794628;0.61734;0.007594177;25.48456569;92.1;92.1
2020;November;A. retusa;Aret 6.3;RET6;Nursery;Nursery;31/10/2020;30/10/2020;;N;09/11/2020;9;18:08:00;;;5.291666667;0.175275835;;;;96.5;96.5
2020;November;A. retusa;Aret 2.4;RET2;Nursery;Nursery;31/10/2020;30/10/2020;;N;08/11/2020;8;18:07:00;22:20:00;04:13:00;10.16666667;0.410369075;0.60819;0.007935208;36.28802088;101.6;101.6
2020;November;A. nasuta;Anas 4.6;NAS4;Nursery;Nursery;31/10/2020;30/10/2020;;N;09/11/2020;9;18:08:00;;;5.458333333;0.180369655;0.62967;0.007387035;20.54517512;118.8;118.8
2020;November;A. retusa;Aret 3.6;RET3;Nursery;Nursery;31/10/2020;30/10/2020;;N;09/11/2020;9;18:08:00;;;5.909090909;0.388743625;0.61542;0.004960669;14.15234584;123.9;123.9
2020;November;A. hyacinthus;HYA 72;HYA72;Nursery;Nursery;31/10/2020;30/10/2020;;Y;09/11/2020;9;18:08:00;;;;;;;;129.1;129.1
2020;November;A. hyacinthus;HYA 72;HYA72;Nursery;Nursery;31/10/2020;30/10/2020;;Y;10/11/2020;10;18:08:00;;;5.652173913;0.173418269;0.61307;0.004547976;36.92224768;129.1;129.1
2020;November;A. nasuta;Anas 2.8.4;NAS2;Nursery;Nursery;31/10/2020;30/10/2020;;Y;09/11/2020;9;18:08:00;;;7.041666667;0.414760131;0.66588;0.006567166;26.36219362;134;134
2020;November;A. nasuta;Anas 2.8.4;NAS2;Nursery;Nursery;31/10/2020;30/10/2020;;Y;10/11/2020;10;18:08:00;;;7.041666667;0.244350416;;;V;134;134
2020;October;A. cytherea;3_4.1;CYT3;Nursery;Nursery;01/10/2020;;;Y;11/10/2020;10;17:57:00;;;8.291666667;0.368502486;;;7.603596966;135.1;135.1
2020;October;A. cytherea;3_4.1;CYT3;Nursery;Nursery;01/10/2020;;;Y;12/10/2020;11;17:57:00;;;;;;;9.280875674;135.1;135.1
2020;November;A. retusa;RET 24;RETE24;E2B;Wild;31/10/2020;30/10/2020;;N;09/11/2020;9;18:08:00;;;;;0.61932;0.006148415;;143.8;143.8
2020;November;A. retusa;Aret 10.2;RET10;Nursery;Nursery;31/10/2020;30/10/2020;;N;09/11/2020;9;18:08:00;;;11.04166667;0.532673392;0.65989;0.006740349;24.79521807;149.7;149.7
2020;November;A. nasuta;Anas 10.1;NAS10;Nursery;Nursery;31/10/2020;30/10/2020;;N;09/11/2020;9;18:08:00;;;6.208333333;0.269050711;0.61937;0.006500405;22.49824232;156.7;156.7
